ano,mediana_taxa_like,mediana_taxa_comentario
2006.0,0.00203,0.00024
2007.0,,0.0
2008.0,0.00155,0.0
2009.0,0.00312,0.0002
2010.0,0.0061,0.0
2011.0,0.00754,0.00029
2012.0,0.00324,0.0
2013.0,0.00546,0.0001
2014.0,0.00977,0.00014
2015.0,0.00839,0.00023
2016.0,0.01101,0.00038
2017.0,0.00847,0.00018
2018.0,0.02358,0.00134
2019.0,0.02394,0.0006
2020.0,0.03536,0.0016
2021.0,0.03703,0.00101
2022.0,0.03856,0.00081
2023.0,0.03386,0.00052
2024.0,0.03403,0.00058
2025.0,0.02931,0.0007
2026.0,0.03037,0.00154
