ano,bloco,n_videos,pct_menciona_valor,mediana_views
2006,criadores_pt,1,0.0,1652018.0
2006,manosphere/ideologia,1,0.0,41.0
2007,manosphere/ideologia,1,0.0,1322.0
2008,autocuidado/estetica,1,0.0,12075.0
2008,criadores_pt,1,0.0,1223929593.0
2008,manosphere/ideologia,4,0.0,655.0
2009,autocuidado/estetica,1,0.0,1438.0
2009,criadores_pt,7,0.0,523849334.0
2009,looksmaxxing,1,0.0,4103869.0
2009,manosphere/ideologia,7,0.0,1481.0
2010,autocuidado/estetica,1,0.0,776861.0
2010,criadores_pt,4,0.0,306478134.5
2010,manosphere/ideologia,21,0.0,636.0
2011,autocuidado/estetica,2,0.0,18803.0
2011,criadores_pt,5,0.2,1474748.0
2011,manosphere/ideologia,12,0.083,718.0
2012,autocuidado/estetica,4,0.0,6471.5
2012,criadores_pt,4,0.0,75637900.0
2012,manosphere/ideologia,9,0.0,64.0
2013,autocuidado/estetica,6,0.0,4864.0
2013,criadores_pt,6,0.0,412496371.5
2013,manosphere/ideologia,13,0.154,213.0
2014,autocuidado/estetica,9,0.0,150780.0
2014,criadores_pt,13,0.0,9031273.0
2014,manosphere/ideologia,10,0.0,714.5
2015,autocuidado/estetica,17,0.059,12152.0
2015,criadores_pt,5,0.0,1698022.0
2015,manosphere/ideologia,13,0.0,560.0
2016,autocuidado/estetica,18,0.056,9354.5
2016,criadores_pt,7,0.0,1202521.0
2016,manosphere/ideologia,19,0.0,9343.0
2017,autocuidado/estetica,22,0.091,42883.0
2017,criadores_pt,15,0.0,18358959.0
2017,looksmaxxing,1,0.0,7180111.0
2017,manosphere/ideologia,51,0.0,47.0
2018,autocuidado/estetica,28,0.071,22549.5
2018,criadores_pt,21,0.0,3368.0
2018,looksmaxxing,1,0.0,885378.0
2018,manosphere/ideologia,28,0.143,62554.5
2019,autocuidado/estetica,48,0.021,13890.5
2019,criadores_pt,27,0.0,681204.0
2019,looksmaxxing,6,0.0,846250.5
2019,manosphere/ideologia,70,0.014,550.5
2020,autocuidado/estetica,64,0.031,10701.5
2020,criadores_pt,28,0.0,8058.0
2020,looksmaxxing,11,0.091,1573039.0
2020,manosphere/ideologia,71,0.014,6403.0
2021,autocuidado/estetica,113,0.018,100296.0
2021,criadores_pt,86,0.058,54963.5
2021,looksmaxxing,13,0.0,1275420.0
2021,manosphere/ideologia,115,0.052,54473.0
2022,autocuidado/estetica,276,0.014,286177.0
2022,criadores_pt,237,0.021,41033.0
2022,looksmaxxing,44,0.0,982865.5
2022,manosphere/ideologia,177,0.023,71545.0
2023,autocuidado/estetica,681,0.012,217996.0
2023,criadores_pt,266,0.041,16942.0
2023,looksmaxxing,137,0.0,627536.0
2023,manosphere/ideologia,360,0.014,58256.0
2024,autocuidado/estetica,522,0.019,156449.0
2024,criadores_pt,106,0.123,45345.5
2024,looksmaxxing,357,0.006,697489.0
2024,manosphere/ideologia,369,0.022,66201.0
2025,autocuidado/estetica,649,0.017,90030.0
2025,criadores_pt,431,0.072,13986.0
2025,looksmaxxing,459,0.007,219155.0
2025,manosphere/ideologia,555,0.022,81084.0
2026,autocuidado/estetica,381,0.018,2095.0
2026,criadores_pt,1006,0.079,8125.0
2026,looksmaxxing,591,0.027,38015.0
2026,manosphere/ideologia,1053,0.033,13240.0
