topico_bertopic,autocuidado/estetica,criadores_pt,looksmaxxing,manosphere/ideologia
-1,426,37,411,948
0,3,0,2,233
1,3,0,1,127
2,0,0,111,11
3,0,0,0,70
4,63,0,2,0
5,62,0,1,0
6,0,0,0,62
7,0,1,1,56
8,1,0,53,2
9,1,0,12,40
10,49,0,2,1
11,0,1,51,0
12,0,0,4,47
13,0,0,0,50
14,33,0,16,1
15,0,0,0,49
16,11,1,18,16
17,17,0,27,0
18,0,3,40,0
19,0,0,0,43
20,0,2,0,40
21,39,0,3,0
22,0,0,0,41
23,39,0,1,0
24,0,0,1,36
25,34,0,1,0
26,29,0,4,2
27,0,0,33,2
28,34,0,0,0
29,33,0,1,0
30,0,6,3,25
31,0,0,33,0
32,0,0,1,31
33,1,0,29,2
34,0,0,31,0
35,0,0,29,0
36,0,0,0,28
37,0,0,0,28
38,0,0,28,0
39,0,0,25,2
40,2,0,0,24
41,1,1,1,23
42,0,0,0,25
43,23,0,0,1
44,0,0,0,24
45,0,0,0,24
46,23,0,0,0
47,1,0,1,20
48,0,0,0,21
49,0,0,0,21
50,0,0,21,0
51,0,0,21,0
52,6,1,7,7
53,0,0,0,20
54,0,1,0,19
55,0,0,0,19
56,17,0,0,2
57,18,0,1,0
58,1,0,0,17
59,0,0,18,0
60,0,1,4,12
61,0,0,17,0
62,1,0,15,0
63,0,0,0,16
64,2,0,0,13
65,0,14,0,1
66,0,0,0,15
67,0,1,0,14
68,9,0,5,1
69,0,0,15,0
70,0,0,0,14
71,0,0,1,13
72,0,0,0,14
73,0,0,13,1
74,13,0,1,0
75,0,0,14,0
76,0,0,0,14
77,0,13,0,0
78,4,0,9,0
79,12,0,1,0
80,12,0,1,0
81,0,0,0,13
82,0,0,13,0
83,0,0,0,12
84,10,0,2,0
85,0,0,9,3
86,0,0,12,0
87,1,0,10,1
88,0,0,0,12
89,11,0,0,0
90,0,0,0,11
91,11,0,0,0
92,0,0,0,11
93,0,0,0,10
94,0,0,1,9
95,10,0,0,0
96,0,0,10,0
97,0,0,0,10
98,0,0,9,0
99,0,0,0,9
100,0,0,9,0
101,0,1,0,8
102,0,0,0,9
103,9,0,0,0
104,7,0,1,0
105,0,0,0,8
106,5,0,3,0
107,0,0,8,0
108,0,0,0,8
