topico_bertopic,autocuidado/estetica,criadores_pt,looksmaxxing,manosphere/ideologia
-1,525,629,32,12
0,25,103,2,0
1,93,1,0,0
2,90,0,0,0
3,75,3,5,0
4,73,0,0,0
5,4,61,1,0
6,7,57,0,0
7,53,0,5,0
8,57,0,0,0
9,0,46,0,0
10,43,1,1,0
11,0,43,0,0
12,0,43,0,0
13,3,34,0,0
14,2,33,2,0
15,37,0,0,0
16,0,36,0,0
17,0,35,0,0
18,1,34,0,0
19,0,35,0,0
20,3,31,0,0
21,0,32,0,0
22,0,32,0,0
23,0,30,0,0
24,28,1,0,1
25,27,2,0,1
26,1,28,0,0
27,2,26,1,0
28,2,26,0,0
29,9,17,1,1
30,0,28,0,0
31,0,26,0,2
32,20,4,2,0
33,0,26,0,0
34,0,26,0,0
35,2,23,0,0
36,0,25,0,0
37,0,24,0,1
38,0,25,0,0
39,0,25,0,0
40,3,21,0,0
41,17,6,0,1
42,23,0,0,0
43,0,23,0,0
44,0,22,0,0
45,22,0,0,0
46,0,22,0,0
47,20,1,0,0
48,20,0,1,0
49,20,0,0,0
50,19,0,0,0
51,19,0,0,0
52,0,18,0,0
53,0,18,0,0
54,0,14,0,3
55,16,1,0,0
56,1,16,0,0
57,1,16,0,0
58,4,0,13,0
59,0,16,0,0
60,0,16,0,0
61,0,16,0,0
62,1,14,0,0
63,0,15,0,0
64,1,13,0,1
65,15,0,0,0
66,0,15,0,0
67,1,14,0,0
68,0,14,0,0
69,1,12,0,0
70,3,10,0,0
71,0,13,0,0
72,0,13,0,0
73,0,12,0,0
74,3,9,0,0
75,2,9,0,0
76,0,11,0,0
77,0,11,0,0
78,0,11,0,0
79,11,0,0,0
80,10,0,0,0
81,0,10,0,0
82,1,9,0,0
83,10,0,0,0
84,10,0,0,0
85,10,0,0,0
86,0,9,1,0
87,0,10,0,0
88,9,0,0,1
89,9,0,0,0
90,1,6,0,2
91,9,0,0,0
92,7,2,0,0
93,9,0,0,0
94,0,8,0,1
95,0,9,0,0
96,9,0,0,0
97,0,1,8,0
98,7,0,0,1
99,7,0,1,0
100,0,8,0,0
101,0,8,0,0
