video_id,titulo,bloco,menciona_valor,views,topico_bertopic
-PkM5dItZA0,skincare do meu namorado 🎀🧚,autocuidado/estetica,False,7885542.0,6
Yz5_YPRg-QM,2 step skincare for men #skincare #brightskin #kskincare #kbeauty #menskincare #orien #cleanser,autocuidado/estetica,False,1135104.0,4
lK--YASOPFE,SIMPLE Men’s Skincare Routine. #dermreacts #skincare,autocuidado/estetica,False,1315826.0,4
iwh1Qv2hAmw,Creme nivea de latinha é o verdadeiro milagre de gerações #nivea #face #skincare #viralvideo #beauty,autocuidado/estetica,False,2260535.0,4
S9u9vrXVgLE,Derm reacts to excellent men’s skincare routine! #dermreacts #doctorreacts #mensskincareroutine,autocuidado/estetica,False,1084834.0,4
IZlwQE2fpPw,produtos de skincare que todo homem deveria ter,autocuidado/estetica,False,7088.0,-1
mbHa3ypvAxI,3 Step Skin Care Routine For Men,autocuidado/estetica,False,4780789.0,4
5rhkBiMf5kg,Boy makeup - no shame 😅 #makeup #skincare,autocuidado/estetica,False,917911.0,-1
fijvpHLUjeQ,Skin Care Routine For Men (Beginners),autocuidado/estetica,False,257365.0,4
MUWmTrj7Nb0,Simple skincare routine for men ✅ #skincare #menskincareroutine,autocuidado/estetica,False,123095.0,0
T4pgfrfEgWs,How to get clear skin? decent skin care products for black men #menshygiene #skincaretips #howto,autocuidado/estetica,False,318123.0,4
lv82M3wwCdY,Principia ou Creamy Skincare. Qual escolher?,autocuidado/estetica,False,157878.0,-1
7FDeshFywZ4,Someone plz help these crusty dusty men 🤦🏼‍♂️ #skincare #mensskincare #lotion #menshealth #dryskin,autocuidado/estetica,False,5302.0,4
q9WdxOxZ3J8,Easiest 4 Step Skincare Routine for Men! #skincare,autocuidado/estetica,False,3474794.0,4
0HQsx2Heqc4,Bare Minimum Skincare Routine for Men,autocuidado/estetica,False,411330.0,-1
ZoDerDJq3mQ,Men’s #facial 🧖🏼‍♂️ #ASMR #asmrsounds #medspa #skincare #beauty #tampa #menshealth,autocuidado/estetica,False,410735.0,-1
lraxpqgDFeM,ADVANCED SKINCARE ROUTINE FOR MEN!,autocuidado/estetica,False,3535201.0,4
TlvpEg1yIcI,TRANSFORME SUA PELE COM ESSA ROTINA DE SKIN CARE #skincare,autocuidado/estetica,False,360094.0,-1
yVNX9cB_UI0,TODO HOMEM DEVE OUVIR ISSO #familia #casamento #relacionamento,autocuidado/estetica,False,1351566.0,-1
bKgVyC9XQkc,MINHA ROTINA SENDO PAI DE BEBÊ REBORN,autocuidado/estetica,False,10805162.0,5
mreLddj6hMY,5 tipos de barbas para homens: descubra qual combina com você | Dicas de Moda Masculina,autocuidado/estetica,False,411010.0,4
1C8p1-z2Iec,Saúde mental do homem: por que e como incentivar o autocuidado,autocuidado/estetica,False,4190.0,5
-1MPcbDEqD8,simple mens self care routine (korean style),autocuidado/estetica,False,29793.0,-1
Nj4FpY7Mrd0,Autocuidado masculino,autocuidado/estetica,False,34.0,5
zOHt-jadwe8,Joinha com autocuidado!,autocuidado/estetica,False,205.0,-1
6OhHeyJlm_Q,exercícios para definir a mandíbula #gym #looksmaxxing #mewing #mandibula #autocuidado,autocuidado/estetica,False,23583.0,-1
1_ZKnm9WhhI,My male model self care night routine ✍️😴 #SelfCare #Routine,autocuidado/estetica,False,14493.0,5
0Zeewzad6E0,10 Self Care Products Every Man Needs,autocuidado/estetica,False,391785.0,5
oMsH5GVIlF4,Men's glow up tips ✨#glowup #glowuptips #glow #viral#explore,autocuidado/estetica,False,46592824.0,1
VOlC0EuW9Qo,before and after moving to korea #glowup,autocuidado/estetica,False,1956508.0,1
U388Lj_9_e4,REAL GLOW UP TUTORIAL💀🧏🏻‍♂️🤫#real #glowup #tutorial #mewing #shelove,autocuidado/estetica,False,3688741.0,-1
uJlkcBbL23Q,Dicas de glow up masculino,autocuidado/estetica,False,10608.0,4
tlb1CJ1A8cc,BEST GLOW UP TIPS FOR BOYS,autocuidado/estetica,False,6280634.0,1
JqpwMIWhBlE,Facial exercise ✨ | Glow up for men | #jawline #tutorial #glowup #short #trending,autocuidado/estetica,False,3689910.0,-1
RlhMrC_9BZQ,Glow Up Routine for Men 5✨ Face Exercises for a Sharper Jawline 🗿 #glowup #faceexercise #men,autocuidado/estetica,False,226573.0,-1
zWjD30Xm6NE,insane two year transformation #motivation #glowup #weightloss #aesthetic #glowuptransformations,autocuidado/estetica,False,4391146.0,1
g6UKk9qOlPc,the glow up is crazy,autocuidado/estetica,False,9574713.0,-1
kMk0j9uI2bU,glow up 🌟 tips for boys #282 #tips #hairstyle #skincare #glowup #beautytips #mewing,autocuidado/estetica,False,1864340.0,-1
S8hWdoW-zf8,BEST GLOW UP TIPS FOR MEN,autocuidado/estetica,False,603928.0,1
tTcRHt2lkRQ,Como Ter um Glow Up INSANO Antes das Férias (Do Zero),autocuidado/estetica,False,88021.0,-1
vwoxG5_em1g,my glow up over the years😤😤 #glowup,autocuidado/estetica,False,2903294.0,1
QRNO3WjIbqc,The Gang’s Glow Up #motivation,autocuidado/estetica,False,4861099.0,-1
EBejm7gyUas,How I had a glow up in under a year #glowup #looksmaxxing #transformation,autocuidado/estetica,False,1821032.0,1
KrmBBwscDD0,"""Indian Boy's Incredible Glow Up Transformation 🔥",autocuidado/estetica,False,764912.0,0
4LDkIPKeD6s,Ranking The Best Boyfriend Glow Up Trend ✨ #tiktokviral #glowup,autocuidado/estetica,False,4155214.0,1
SCI1bMt0jEc,How to lose weight quickly #glowup,autocuidado/estetica,False,206435.0,1
7w8yowC1Zls,Glow Up📈💪🥶 #motivation #shorts #successmindset #viral #Ytshortsindia #inspiration #godsplan #sigma,autocuidado/estetica,False,3122403.0,0
Sup-70_dRjs,How to perfectly GLOW UP as an Asian guy (Part 2),autocuidado/estetica,False,913553.0,1
