Topic,Count,Name,exemplos_titulo,categoria_manual
0,1387,0_you_man_your_video,Simple skincare routine for men ✅ #skincare #menskincareroutine | Saúde mental do homem: por que e como incentivar o autocuidado | Autocuidado masculino,
1,531,1_looksmaxxe_short_glowup_skincare,2 step skincare for men #skincare #brightskin #kskincare #kbeauty #menskincare #orien #cleanser | SIMPLE Men’s Skincare Routine. #dermreacts #skincare | Creme nivea de latinha é o verdadeiro milagre de gerações #nivea #face #skincare #viralvideo #beauty,
2,286,2_alpha_male_book_value,Homem Que Para De Se Cuidar Quando Está Namorando! | Mulher não cuida do homem se ele ficar doente 😱😒 | girl's mentality vs men's mentality 💁‍♂️💁‍♀️(+4M),
3,270,3_mewing_mew_tutorial_exercise,How to suction mew #mewing #looksmaxxing | Power Of LooksMaxing🤫🧏🏻💀#tutorial #stepbystep #mewing #looksmaxxing #shelove | Mewing Transformation,
4,247,4_awalt_rain_music_gta,skincare do meu namorado 🎀🧚 | EU DISSE A VERDADE PARA OS MEUS GATOS #shortssprintbrasil | @ImanGadzhi 's best men's grooming product,
5,240,5_white_black_supremacy_racism,Full Glow Up Guide For Black Men / How To Glow Up For Black Men | Looksmaxxing for black men#blackmen #ascend #4chair | Looksmaxx black male#hairstyle#black male#viral#shorts follow for looksmaxxing advice for black men,
6,180,6_groom_beard_barba_que,MINHA ROTINA SENDO PAI DE BEBÊ REBORN | 5 tipos de barbas para homens: descubra qual combina com você | Dicas de Moda Masculina | Joinha com autocuidado!,
7,37,7_murad_merali_muradmeralibooking_gmail,"4 Year Looksmaxxing Transformation (Indian) | Andrew Tate is FINISHED this has gone too far this is insane | Andrew Tate new insane MELTDOWN, worst one yet...",
8,34,8_lake_tim_ford_bend,"Awalt Drive Lakefront Subdivision Tracts | 250 Awalt dr. Winchester TN MINI FARM! | 1530 Awalt Court Los Altos, CA 94024",
9,28,9_chad_awalt_gallery_vining,Rhea by Chad Awalt | This Tiny Saw Packs a BIG Punch! 🔥 #tools | Chad Awalt - Vinings Gallery,
10,23,10_nba_sport_baller_basketball,Footballers Looksmaxxing 😎 | Ronaldo Goes First Mewing..😮‍💨 | Ronaldo Mewing Transformation🗿🐐 #mewing #shorts #viral #edit #goat #football,
11,22,11_gym_fitness_estética_corpo,exercícios para definir a mandíbula #gym #looksmaxxing #mewing #mandibula #autocuidado | Uno reverse | #transformation #gymmotivation #glowup #looksmaxxing #tranding #gymrat #motivation | Does Mewing Work? (1 year transformation),
12,10,12_mog_hairstyle_viral_edit,Best duo on the internet👀 #edit #mog #looksmaxxing #viral #hairstyle | Send this to bro😩 #edit #mog #looksmaxxing #viral #hairstyle | Send this to future unc❤️‍🩹 #edit #mog #looksmaxxing #viral #hairstyle,
13,9,13_rorz_bible_privately_mog,the world's shortest looksmaxxing guide you'll ever need. | Ranking The Best Looksmaxxing Products (TIER LIST) | The Official A-Z Looksmaxxing Guide,
