video_id,titulo,bloco,menciona_valor,views,topico_bertopic
taCU_pUMFPo,SKINCARE para HOMENS | Dicas de CUIDADOS COM A PELE RÁPIDO e EFICAZ,autocuidado/estetica,False,433748.0,1
tDFgt2ahKdw,6 CUIDADOS PESSOAIS com o ROSTO que todo HOMEM DEVERIA TER | glow up masculino 2026,autocuidado/estetica,False,7687.0,-1
4aLgVCtvglM,Skincare Masculino – Rotina de Cuidados com a Pele para Homens – Dr. Paulo Müller Dermatologista.,autocuidado/estetica,False,27756.0,-1
3Ho4ozkJ7rs,Homens: Como Rejuvenescer e Renovar a Pele Após os 30 Anos | 4 Passos Essenciais,autocuidado/estetica,False,29265.0,-1
seD7Pmxv0X4,DERMATOLOGISTA ENSINA O MELHOR SKIN-CARE | Lutz Podcast,autocuidado/estetica,False,210471.0,1
5bZqG2IBjz4,NÃO COMPRE seus produtos de skincare ANTES de ver esse vídeo,autocuidado/estetica,False,279125.0,1
aTOaaUbpYUg,4 dicas para ter uma PELE mais BONITA sendo HOMEM,autocuidado/estetica,False,172472.0,-1
YPk-BxLptrY,SKINCARE Como Cuidar da PELE MASCULINA: Passo a Passo,autocuidado/estetica,False,59204.0,-1
tKUBz0fUUgk,Testei o ácido raro que remove todos CRAVOS na hora 😵,autocuidado/estetica,False,7785409.0,-1
xPRF7tx8rE4,Creme no rosto não adianta! | Dr Dayan Siebra #cuidadodapele #pele #saude,autocuidado/estetica,False,156551.0,0
q40agCwCsdk,Pele Oleosa: Skincare da Manhã e da Noite (Passo a Passo),autocuidado/estetica,False,40158.0,-1
oX5PcYtf0mI,CUIDADOS PESSOAIS que TODO HOMEM DEVE TER! | SKINCARE PARA HOMENS |,autocuidado/estetica,False,17631.0,1
QNyhLek433A,5 Coisas que todo Homem PRECISA Saber pra ter uma Pele Perfeita,autocuidado/estetica,False,43262.0,1
1FC2tCdBM4w,Rotina Skin Care Masculina 🔥,autocuidado/estetica,False,44773.0,-1
b1LY_NpMa24,Como Ter um Glow Up Masculino em 7 Dias (passo a passo simples),autocuidado/estetica,False,270453.0,1
IR2F-N7heF0,como MONTAR uma ROTINA de SKINCARE MASCULINA | CORTES do MHM,autocuidado/estetica,False,7035.0,-1
4mXKuDCJYcg,SKINCARE MASCULINO: COMO ESFOLIAR O ROSTO #Shorts,autocuidado/estetica,False,95969.0,-1
l6ooFtIvUEA,Skincare barato: 4 produtos para montar sua rotina,autocuidado/estetica,False,502340.0,1
vSyoKFaCYL8,Básico para skincare masculina 😉,autocuidado/estetica,False,207274.0,-1
TnU8Mz9DsGQ,Você Pode Estar Comprando 5 Produtos Quando Só 1 Faz Diferença,autocuidado/estetica,False,29099.0,1
CWfIwbBa9DE,Skincare Masculina de 3 Minutos - Dicas Exclusivas que Você não Conhecia,autocuidado/estetica,False,2384.0,1
vcCQ0A3K4GA,GUIA COMPLETO de SKINCARE para HOMENS | Produtos para skincare masculino,autocuidado/estetica,False,28702.0,1
uacOqjWAq0o,Como Ficar MAIS CHEIROSO gastando POUCO!!! #shorts,autocuidado/estetica,False,1264732.0,-1
sOpWihXQKsc,Você compra o Nivea Men pelo motivo errado,autocuidado/estetica,False,50537.0,0
GvfcSrh11Sk,Top 5 Hidratantes Masculino #niveamen #skincare #skincaremasculino,autocuidado/estetica,True,21024.0,1
cGmxcb94QWc,PELE MASCULINA: 5 coisas que HOMENS NÂO SABEM | GLOW UP MASCULINO,autocuidado/estetica,False,38352.0,-1
en-yPv6BpFY,Produtos pra ACABAR com suas ESPINHAS!!! - ACNE,autocuidado/estetica,False,1340031.0,-1
6wFRfHdeSMo,HOMENS FAZENDO SKINCARE,autocuidado/estetica,False,505030.0,-1
DH8otxXkeho,Segue o Toledox que o Glow Up é garantido ✅ #looksmaxxing #skincare #glowup #autoestima,autocuidado/estetica,False,317979.0,-1
lZEBOBJhx5M,GUIA de SKINCARE para HOMENS #SHORTS,autocuidado/estetica,False,233021.0,1
PhbTOtdPMgA,GLOW UP MASCULINO 2026 | 9 dicas de beleza masculina,autocuidado/estetica,False,61767.0,-1
7ghQgFeai-c,3 PASSOS para TODO HOMEM ter UMA PELE PERFEITA | Faça Isso e Tenha Um Rosto Perfeito,autocuidado/estetica,False,164972.0,1
RIUXE5mqHJY,4 DICAS DE CUIDADOS PARA PELE NEGRA! #SHORTS,autocuidado/estetica,False,47640.0,-1
A4JqygxhHJE,Rotina de skincare masculino - 4 passos simples. #autocuidado #skincare #dailyvlog #rotinadodia,autocuidado/estetica,False,4886.0,1
gEm4mkNLj6o,cuidados com as pele dos homens #skincare,autocuidado/estetica,False,15731.0,1
340mWQmk8xM,Como cuidar da pele do rosto e deixá-lo mais bonito e definido.,autocuidado/estetica,False,10962.0,1
0p3TkVmuH-U,Harmonização Facial masculina,autocuidado/estetica,False,308117.0,-1
W5B5w9l7JcA,NIVEA Q10 ANTISSINAIS EXPERT Creme Preenchedor Facial Rugas e Linhas Novidade de Farmácia Resenha,autocuidado/estetica,False,170526.0,1
yw3wPd5zBRs,Dica de produtinho pra poros dilatados!,autocuidado/estetica,False,1045249.0,-1
UeRMYZWvpZU,5 Benefícios de Passar Gelo No Rosto - Skincare aos 30 #shorts,autocuidado/estetica,False,2615319.0,-1
YnVkEF3VQVc,Minha rotina noturna de cuidados com a pele,autocuidado/estetica,False,779811.0,1
6aon7AMOPyQ,Nivea men - dermatologista explica,autocuidado/estetica,False,149564.0,-1
PgfrjtXAYyo,Neutrogena Hydroboost - Vale a Pena OU Lorota Plena?,autocuidado/estetica,False,121026.0,-1
Z0R57wapAkA,Qual serum da principia é ideal para seu tipo de pele?,autocuidado/estetica,False,286686.0,1
9sxtFPtUtws,Actine para pele oleosa: o detalhe que muita gente esquece,autocuidado/estetica,False,196134.0,1
LzcsEM0bPS8,4 PASSOS PARA UMA PELE PERFEITA | ROSTO MASCULINO #shorts,autocuidado/estetica,False,2222581.0,-1
2XodYZMwJnU,Como fazer skincare para homens. (Rotina simplificada),autocuidado/estetica,False,295186.0,-1
Az9nVSfLH7Q,Gel de limpeza Cerave - dermatologista explica,autocuidado/estetica,False,101368.0,1
kEiCALZSf3c,SUGESTÃO DE ROTINA DE SKINCARE MASCULINO PARA UM ROSTO BONITO,autocuidado/estetica,False,242549.0,-1
X8jVQwP4iY4,Cuidados com o rosto masculino,autocuidado/estetica,False,131899.0,2
mZV2bQ_LCLg,Como cuidar da pele (Rotina de skin care para homens ),autocuidado/estetica,False,2394.0,1
4b--9TLRGZA,TOP 3 Melhores Hidratante Facial Masculino Para Comprar Sem Medo,autocuidado/estetica,True,2980.0,1
Z7HZaY3o9W0,🎧 [ASMR] SKINCARE FACIAL MASCULINO,autocuidado/estetica,False,5822.0,1
DcGBr5syW24,Rotina skincare para espinhas - dermatologista explica,autocuidado/estetica,False,37833.0,1
leJN_NrAJLE,"Rotina de Skincare Eficaz para Adolescentes com Acne, Manchas e Oleosidade | Dra. Greice Moraes",autocuidado/estetica,False,37519.0,1
LHcRC_J3hik,ROTINA COMPLETA para PELE OLEOSA e POROS DILATADOS (com produtos baratinhos!) PRINCIPIA,autocuidado/estetica,False,32709.0,1
T2ebtrB3m6w,Dicas de GLOW UP que vão melhorar sua APARÊNCIA em 80% (em 30 dias),autocuidado/estetica,False,38103.0,1
0MUJc-hIebc,ROTINA DE SKINCARE NOITE,autocuidado/estetica,False,79226.0,0
nuHNPrPL7LI,Como começar a fazer skincare,autocuidado/estetica,False,622742.0,-1
S1bEmw6a_Lw,skincare masculino #skincare #autocuidado #theweeknd,autocuidado/estetica,False,10062.0,1
iTwRtCbrXYw,Como ter um FICAR MAIS BONITO sem GASTAR!!! (GLOW UP) - #shorts,autocuidado/estetica,False,3130694.0,1
