Topic,Count,Name,exemplos_titulo,categoria_manual
0,657,0_thiago_nigro_instagr_chuva,Creme no rosto não adianta! | Dr Dayan Siebra #cuidadodapele #pele #saude | Você compra o Nivea Men pelo motivo errado | ROTINA DE SKINCARE NOITE,
1,524,1_barba_pele_produto_skincare,SKINCARE para HOMENS | Dicas de CUIDADOS COM A PELE RÁPIDO e EFICAZ | Skincare Masculino – Rotina de Cuidados com a Pele para Homens – Dr. Paulo Müller Dermatologista. | DERMATOLOGISTA ENSINA O MELHOR SKIN-CARE | Lutz Podcast,
2,266,2_masculino_homem_aparência_seu,Como Ter um Glow Up Masculino em 7 Dias (passo a passo simples) | Cuidados com o rosto masculino | Dicas de GLOW UP que vão melhorar sua APARÊNCIA em 80% (em 30 dias),
3,259,3_investir_dinheiro_você_investimento,"rotina noturna saudável #desenvolvimentopessoal #hábitos #produtividade | Homem se cuida, SIM! | VOCÊ É O 11 BILIONÁRIO QUE EU CONHEÇO #thiagonigro #oprimorico #investimentos",
4,248,4_breier_gabriel_shorts_shortsfeed,A evolução do skincare na vida do homem😂🤣 #humor #namorada #skincare | ❤️😍#rotina #foryou #fy #short #shorts #shortsvideo #shortvideo #skincare #dicas #produtos #beleza | OS SINAIS de uma PÉSSIMA SAÚDE MENTAL!,
5,194,5_breier_gabrielbreier_motivação_gabriel,"Poros dilatados e Skincare | Skincare fácil, simples e que funciona | Hahaha como sair do crespo e ir aos cachos ?? Tem no canal passo a passo",
6,163,6_cafecomteupai_ofimdaficar_amulherqueeleassumer_relacionamento,O QUE VOCÊ QUER SER QUANDO CRESCER? #autocuidadomasculino #produtividade #podcastbrasil | Manda para um amigo para saber dessa dica😉❤️ #acne #espinhas #saude #curiosidades #dicas #alimentos | COMEMOS ALGO DIFERENTE💩,
7,90,7_glow_glowup_dica_mewing,Como Ficar MAIS CHEIROSO gastando POUCO!!! #shorts | Como ter um FICAR MAIS BONITO sem GASTAR!!! (GLOW UP) - #shorts | TE DEIXANDO MUITO MAIS BONITO EM 30 DIAS! (na prática),
8,68,8_red_inscrevar_linkr_aluno,ARTHUR DO VAL REAGIU! O que ele pensa sobre o caso BRENO FARIA? | POR QUE NINGUÉM ESCUTA ROCK EM 2026? | O MAIOR PROBLEMA DO BRASIL,
9,45,9_reborn_bebê_bebereborn_mulher,Skincare masculina com Time Wise Mary Kay | rotina da manhã da minha bebê reborn | Dei banho de ofurô para acalmar a Beatriz (bebê de silicone realista)#siliconebaby #bebereborn,
10,38,10_chuva_rio_atingir_tempestade,"Incrível como este peixe protege seus filhotes 😃 | Penteado Slicked Back com pomada efeito úmido MAJOR 🔥 | ASMR- VOU CUIDAR DE VOCÊ HOMEM (cabelo, barba, chuva e relaxamento total)",
11,24,11_youtube_music_composer_lyricist,Israel Novaes - Cuidando De Longe ft. Jefferson Moraes | Decisão | Filho da Fé,
12,15,12_tatuagem_santo_raiamsanto_borboleta,o efeito da tatuagem de borboleta #raiamsantos #tatuagem | Raiam comenta sobre tatuagem #raiamsantos #raiam #tatuagem | Raiam santos falando da tatuagem de borboleta. #raiamsantos #santos #borboletas #tatuagem,
13,12,13_dormir_chuva_som_sono,HIPNOSE para DORMIR com SOM DE CHUVA | Durma a noite inteira e acorde revigorado | Barulho de Chuva para Dormir Profundamente - Som de Chuva e Trovões à Noite #8 Nature White Noise | Barulho de Chuva e Trovoadas para Dormir Profundamente - Durma Sozinho sob Chuva Forte |ASMR,
